Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
82,HP,Technology,"53,718",-14.50%,"58,000","Palo Alto, California"
83,United Airlines,Airline,"53,717",19.50%,"103,300","Chicago, Illinois"
84,Performance Food Group,Food processing,"53,355",13.10%,"34,825","Richmond, Virginia"
85,Tyson Foods,Food processing,"52,788",-0.80%,"139,000","Springdale, Arkansas"
86,American Airlines,Airline,"52,788",7.80%,"132,100","Fort Worth, Texas"
87,Liberty Mutual,Insurance,"52,612",5.30%,"45,000","Boston, Massachusetts"
88,Nike,Apparel,"51,217",9.60%,"83,700","Beaverton, Oregon"
89,Oracle Corporation,Technology,"49,954",17.70%,"164,000","Austin, Texas"
90,Enterprise Products,Petroleum industry,"49,715",-14.60%,"7,500","Houston, Texas"
91,Capital One Financial,Financials,"49,484",29.00%,"51,987","Richmond, Virginia"
92,Plains All American Pipeline,Petroleum industry,"48,712",-15.10%,"4,200","Houston, Texas"
93,World Kinect Corporation,Energy trading,"47,711",-19.20%,"5,289","Doral, Florida"
94,AIG,Insurance,"46,802",-17.10%,"25,200","New York City, New York"
95,Coca-Cola,Beverage,"45,754",6.40%,"79,100","Atlanta, Georgia"
96,TIAA,Financials,"45,735",11.80%,"16,023","New York City, New York"
97,CHS,Agriculture cooperative,"45,590",-4.60%,"10,609","Inver Grove Heights, Minnesota"
98,Bristol-Myers Squibb,Pharmaceutical industry,"45,006",-2.50%,"34,100","New York City, New York"
99,Dow Chemical Company,Chemical industry,"44,622",-21.60%,"35,900","Midland, Michigan"
100,Best Buy,Retail,"43,452",-6.10%,"85,000","Richfield, Minnesota"
